Year,Lat,Long,Source
2013,37.738173596133,-122.391939101955,311
2014,37.738183458462,-122.506319204609,311
2016,37.738218334434,-122.390288876067,311
2015,37.738250170473,-122.392537840183,311
2015,37.738255150340,-122.390234781753,311
2013,37.738321354972,-122.405646627708,311
2016,37.738324896586,-122.424143579591,311
2014,37.738324896586,-122.424143579591,311
2016,37.738398601392,-122.404077459799,311
2016,37.738403937438,-122.403439752762,311
2016,37.738415223468,-122.408888869540,311
2016,37.738415223468,-122.408888869540,311
2016,37.738415223468,-122.408888869540,311
2016,37.738431057236,-122.389877714498,311
2016,37.738431057236,-122.389877714498,311
2016,37.738444722983,-122.392233348450,311
2016,37.738454834674,-122.401594633571,311
2016,37.738454834674,-122.401594633571,311
2016,37.738459269982,-122.424135134159,311
2016,37.738549889892,-122.392031523681,311
2016,37.738549889892,-122.392031523681,311
2016,37.738599716782,-122.391025488267,311
2016,37.738602539785,-122.392392843967,311
2016,37.738602539785,-122.392392843967,311
2016,37.738602539785,-122.392392843967,311
2015,37.738705681496,-122.382887180700,311
2016,37.738721206267,-122.400492275141,311
2013,37.738768033000,-122.384501600000,311
2013,37.738768033000,-122.384501600000,311
2016,37.738768033000,-122.384501600000,311
2013,37.738843339047,-122.423948741738,311
2016,37.738843339047,-122.423948741738,311
2015,37.738990303323,-122.403075765758,311
2016,37.739001963645,-122.415899597545,311
2015,37.739021734102,-122.394801979004,311
2015,37.739021734102,-122.394801979004,311
2015,37.739021734102,-122.394801979004,311
2015,37.739055875714,-122.391815435692,311
2014,37.739059882372,-122.407114194451,311
2014,37.739063112000,-122.454657700000,311
2014,37.739063112000,-122.454657700000,311
2016,37.739173948972,-122.407237905898,311
2016,37.739173948972,-122.407237905898,311
2016,37.739173948972,-122.407237905898,311
2016,37.739185804566,-122.423636587979,311
2015,37.739227973696,-122.391830773850,311
2014,37.739227973696,-122.391830773850,311
2015,37.739227973696,-122.391830773850,311
2015,37.739227973696,-122.391830773850,311
2015,37.739227973696,-122.391830773850,311
2015,37.739227973696,-122.391830773850,311
2015,37.739227973696,-122.391830773850,311
2015,37.739275774215,-122.400246349099,311
2016,37.739282269451,-122.391592763164,311
2016,37.739297738000,-122.475966400000,311
2013,37.739311479560,-122.412657142966,311
2016,37.739557843784,-122.408675946759,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2016,37.739566140175,-122.406978449567,311
2014,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739566140175,-122.406978449567,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2015,37.739605944700,-122.407641873729,311
2016,37.739643402688,-122.408263384244,311
2016,37.739643402688,-122.408263384244,311
2015,37.739666651610,-122.391243530846,311
2016,37.739666651610,-122.391243530846,311
2015,37.739666651610,-122.391243530846,311
2015,37.739674287000,-122.407900633000,311
2015,37.739674287000,-122.407900633000,311
2015,37.739760737034,-122.408566419238,311
2016,37.739853135831,-122.391268341522,311
2014,37.739853135831,-122.391268341522,311
2015,37.739853135831,-122.391268341522,311
2015,37.739853135831,-122.391268341522,311
2015,37.739866582567,-122.369235112813,311
2016,37.739869100158,-122.424147214782,311
2016,37.739869100158,-122.424147214782,311
2014,37.739869100158,-122.424147214782,311
2014,37.739869100158,-122.424147214782,311
2016,37.740036325087,-122.390754216063,311
2015,37.740044260914,-122.462823803498,311
2015,37.740115006838,-122.446321356756,311
2016,37.740120357598,-122.403519226942,311
2016,37.740120357598,-122.403519226942,311
2015,37.740293865973,-122.461064182624,311
2014,37.740304627000,-122.384864005000,311
2015,37.740396171762,-122.397177510099,311
2015,37.740528608251,-122.399124099347,311
2014,37.740582841033,-122.486026531439,311
2015,37.740592212024,-122.400010386223,311
2013,37.740641765608,-122.423090064246,311
2015,37.740869156420,-122.454602927389,311
2015,37.740991979762,-122.457163415519,311
2014,37.741105115968,-122.390142453087,311
2016,37.741141786460,-122.398574555983,311
2016,37.741154863579,-122.404915646673,311
2013,37.741198805048,-122.445964398186,311
2015,37.741248958319,-122.403730856168,311
2015,37.741248958319,-122.403730856168,311
2016,37.741260154245,-122.406803163312,311
2013,37.741316821068,-122.453043492334,311
2016,37.741345143268,-122.399801853728,311
2016,37.741346111567,-122.395574514795,311
2016,37.741346111567,-122.395574514795,311
2016,37.741346111567,-122.395574514795,311
2016,37.741346111567,-122.395574514795,311
2016,37.741403205186,-122.486465705294,311
2016,37.741567105958,-122.406031971903,311
2015,37.741587898061,-122.400993147828,311
2015,37.741587898061,-122.400993147828,311
2016,37.741782390948,-122.413136577685,311
2015,37.741994689203,-122.417393693686,311
2015,37.742012805695,-122.400684110809,311
2015,37.742012805695,-122.400684110809,311
2016,37.742049676811,-122.411361683985,311
2016,37.742103782550,-122.412000670919,311
2016,37.742197233874,-122.400426909701,311
2014,37.742197233874,-122.400426909701,311
2013,37.742294423839,-122.423285731065,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2015,37.742309211324,-122.421797957946,311
2015,37.742309211324,-122.421797957946,311
2015,37.742309211324,-122.421797957946,311
2015,37.742309211324,-122.421797957946,311
2015,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2016,37.742309211324,-122.421797957946,311
2013,37.742322454124,-122.405192316924,311
2015,37.742375519157,-122.421968851528,311
2015,37.742375519157,-122.421968851528,311
2016,37.742375519157,-122.421968851528,311
2016,37.742391344703,-122.397415845625,311
2015,37.742391344703,-122.397415845625,311
2015,37.742405553675,-122.422374622074,311
2014,37.742420815723,-122.495617686035,311
2014,37.742431122000,-122.427797600000,311
2013,37.742443274681,-122.422536438490,311
2016,37.742475541899,-122.422132018243,311
2016,37.742475541899,-122.422132018243,311
2014,37.742476588402,-122.448838604576,311
2016,37.742500950339,-122.421674161952,311
2016,37.742517028612,-122.422046613522,311
2014,37.742651362670,-122.394589091391,311
2015,37.742651362670,-122.394589091391,311
2016,37.742654668263,-122.421574911665,311
2013,37.742841608836,-122.401855192422,311
2016,37.742964097645,-122.401887431988,311
2016,37.742964512044,-122.394842509227,311
2016,37.743051225684,-122.405242481213,311
2015,37.743051225684,-122.405242481213,311
2016,37.743051225684,-122.405242481213,311
2013,37.743093787689,-122.401995747212,311
2016,37.743123675005,-122.403275025889,311
2014,37.743132113000,-122.414252200000,311
2016,37.743132113000,-122.414252200000,311
2016,37.743132113000,-122.414252200000,311
2014,37.743222588739,-122.417421505253,311
2016,37.743225386669,-122.398877547187,311
2016,37.743225386669,-122.398877547187,311
2015,37.743225386669,-122.398877547187,311
2015,37.743225888585,-122.406782403845,311
2015,37.743225888585,-122.406782403845,311
2014,37.743352761683,-122.408591104192,311
2014,37.743352761683,-122.408591104192,311
2013,37.743447043595,-122.417976619561,311
2016,37.743472220363,-122.405204923916,311
2016,37.743472220363,-122.405204923916,311
2015,37.743493483164,-122.383634554347,311
2016,37.743591586012,-122.412277491736,311
2015,37.743641149373,-122.396309336827,311
2016,37.743691634958,-122.404896376690,311
