PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
611 MINNA ST,611 Minna St,NA,No,18,37.778378,-122.410639
868 SHOTWELL ST,868 Shotwell St,NA,No,17,37.754521,-122.415685
15 NOBLES AL,15 Nobles Al,NA,No,17,37.800869,-122.407272
2280 MISSION ST,2280 Mission St,NA,No,17,37.760573,-122.419541
3491 20th ST,3491 20th St,NA,No,17,37.758437,-122.418678
1254 LEAVENWORth ST,1254 Leavenworth St,NA,No,17,37.792855,-122.415782
1250 SILVER AV,1250 Silver Av,NA,No,17,37.730453,-122.411168
571 VALENCIA ST,571 Valencia St,NA,No,17,37.763818,-122.421486
355 BOCANA ST,355 Bocana St,NA,No,17,37.7386,-122.418696
409 34th AV,409 34th Av,NA,No,17,37.781282,-122.494719
517 BROADWAY *,517 Broadway,NA,No,17,37.797746,-122.405865
1508 UNDERWOOD AV,1508 Underwood Av,NA,No,17,37.729178,-122.390244
641 O'FARRELL ST,641 O'Farrell St,NA,No,17,37.7852,-122.41547
3219 23rd ST,3219 23rd St,NA,No,17,37.753732,-122.41688
175 23rd AV,175 23rd Av,NA,No,17,37.784451,-122.483234
1617 PALOU AV,1617 Palou Av,NA,No,17,37.734048,-122.391565
2438 MISSION ST,2438 Mission St,NA,No,17,37.757961,-122.419288
2702 MISSION ST,2702 Mission St,NA,No,17,37.753609,-122.418882
7700 GEARY BL,7700 Geary Bl,NA,No,17,37.779852,-122.502142
2683 BRYANT ST,2683 Bryant St,NA,No,17,37.751556,-122.408734
453 23rd AV,453 23rd Av,NA,No,17,37.779147,-122.482847
249 OAK ST,249 Oak St,NA,No,17,37.774664,-122.423321
6666 3rd ST,6666 3rd St,NA,No,17,37.718473,-122.398083
3182 24th ST,3182 24th St,NA,No,17,37.752517,-122.41597
1046 MASON ST,1046 Mason St,NA,No,17,37.793374,-122.410893
1325 NEWHALL ST,1325 Newhall St,NA,No,17,37.735793,-122.391905
372 WEST PORTAL AV,372 West Portal Av,NA,No,17,37.737202,-122.470427
766 7th AV,766 7th Av,NA,No,17,37.774164,-122.464532
1010 POST ST,1010 Post St,NA,No,17,37.787282,-122.418583
58 SHOTWELL ST,58 Shotwell St,NA,No,17,37.767508,-122.416927
2390 14th AV,2390 14th Av,NA,No,17,37.743544,-122.470079
370 SHOTWELL ST,370 Shotwell St,NA,No,17,37.762544,-122.416451
3309 21ST ST,3309 21St St,NA,No,17,37.756692,-122.421398
1591 PAGE ST,1591 Page St,NA,No,17,37.770848,-122.446826
1911 BRODERICK ST,1911 Broderick St,NA,No,17,37.788333,-122.442472
1732 POST ST,1732 Post St,NA,No,16,37.785779,-122.430401
2220 CAYUGA AV,2220 Cayuga Av,NA,No,16,37.710147,-122.45504
157 SAINT CHARLES AV,157 Saint Charles Av,NA,No,16,37.711252,-122.469036
205 9th ST,205 9th St,NA,No,16,37.775036,-122.412817
638 RHODE ISLAND ST,638 Rhode Island St,NA,No,16,37.761675,-122.402586
48 6th ST,48 6th St,NA,No,16,37.781353,-122.409585
37 6th ST,37 6th St,NA,No,16,37.781852,-122.409422
819 OAK ST,819 Oak St,NA,No,16,37.773483,-122.432783
755 CAPITOL AV,755 Capitol Av,NA,No,16,37.717305,-122.459304
776 BUSH ST,776 Bush St,NA,No,16,37.79026,-122.410041
2834 CALIFORNIA ST,2834 California St,NA,No,16,37.788278,-122.441157
4100 FULTON ST,4100 Fulton St,NA,No,16,37.77313,-122.475896
534 BROADWAY *,534 Broadway,NA,No,16,37.798235,-122.406158
120 TRENTON ST,120 Trenton St,NA,No,16,37.796043,-122.408999
2737 SAN BRUNO AV,2737 San Bruno Av,NA,No,16,37.727196,-122.403137
179 LEXINGTON ST,179 Lexington St,NA,No,16,37.760583,-122.420493
76 ALPHA ST,76 Alpha St,NA,No,16,37.715301,-122.40314
2 DIAMOND ST,2 Diamond St,NA,No,16,37.762153,-122.437499
161 POWELL ST,161 Powell St,NA,No,16,37.786162,-122.408326
689 3rd AV,689 3rd Av,NA,No,16,37.775783,-122.460967
1047 BUSH ST,1047 Bush St,NA,No,16,37.789157,-122.414403
145 FELL ST,145 Fell St,NA,No,16,37.776012,-122.420248
760 GEARY ST,760 Geary St,NA,No,16,37.786671,-122.415867
2877 FOLSOM ST,2877 Folsom St,NA,No,16,37.751298,-122.413629
1831 LARKIN ST,1831 Larkin St,NA,No,16,37.794788,-122.420159
1878 MARKET ST,1878 Market St,NA,No,16,37.771214,-122.424762
210 PAGE ST,210 Page St,NA,No,16,37.773993,-122.424323
645 MOSCOW ST,645 Moscow St,NA,No,16,37.717279,-122.430292
919 CAPITOL AV,919 Capitol Av,NA,No,16,37.718604,-122.459506
245 RICHLAND AV,245 Richland Av,NA,No,16,37.736086,-122.421931
1855 CALIFORNIA ST,1855 California St,NA,No,16,37.789749,-122.424766
674 MORSE ST,674 Morse St,NA,No,16,37.71142,-122.445806
3449 22ND ST,3449 22Nd St,NA,No,16,37.754944,-122.424062
1640 WASHINGTON ST,1640 Washington St,NA,No,16,37.793652,-122.420296
5005 3rd ST,5005 3rd St,NA,No,16,37.732841,-122.391043
574 3rd ST,574 3rd St,NA,No,16,37.780197,-122.395038
18 GARLINGTON CT,18 Garlington Ct,NA,No,16,37.731752,-122.384008
1215 BROADWAY *,1215 Broadway,NA,No,16,37.796237,-122.417258
400 DUBOCE AV,400 Duboce Av,NA,No,16,37.769757,-122.429636
275 CONCOrd ST,275 Concord St,NA,No,16,37.710121,-122.441483
1693 MARKET ST,1693 Market St,NA,No,16,37.772551,-122.421932
2303 BRYANT ST,2303 Bryant St,NA,No,16,37.757477,-122.409301
1500 INNES AV,1500 Innes Av,NA,No,15,37.738568,-122.386977
671 7th AV,671 7th Av,NA,No,15,37.775844,-122.465313
741 GREENWICH ST,741 Greenwich St,NA,No,15,37.801752,-122.411851
170 ALBION ST,170 Albion St,NA,No,15,37.763673,-122.423001
22 MUSEUM WY,22 Museum Wy,NA,No,15,37.764874,-122.441089
1944 BUCHANAN ST,1944 Buchanan St,NA,No,15,37.788099,-122.430037
949 COLUMBUS AV,949 Columbus Av,NA,No,15,37.803165,-122.414608
745 PINE ST,745 Pine St,NA,No,15,37.791,-122.408149
556 LARKIN ST,556 Larkin St,NA,No,15,37.783038,-122.417198
1000 STOCKTON ST,1000 Stockton St,NA,No,15,37.795222,-122.407905
950 PINE ST,950 Pine St,NA,No,15,37.791062,-122.411642
693 15th AV,693 15th Av,NA,No,15,37.775146,-122.473756
520 PARKER AV,520 Parker Av,NA,No,15,37.777431,-122.452955
225 7th AV,225 7th Av,NA,No,15,37.784251,-122.46592
2659 LOMBArd ST,2659 Lombard St,NA,No,15,37.798414,-122.445178
164 LEXINGTON ST,164 Lexington St,NA,No,15,37.760695,-122.420921
52 MAJESTIC AV,52 Majestic Av,NA,No,15,37.717782,-122.451559
442 HOLLOWAY AV,442 Holloway Av,NA,No,15,37.722061,-122.457931
1933 MISSION ST,1933 Mission St,NA,No,15,37.766169,-122.419424
4280 23rd ST,4280 23rd St,NA,No,15,37.752911,-122.438077
775 GEARY ST,775 Geary St,NA,No,15,37.786089,-122.415949
1000 DOLORES ST,1000 Dolores St,NA,No,15,37.753221,-122.425655
1329 GRANT AV,1329 Grant Av,NA,No,15,37.799109,-122.407473
4220 CESAR CHAVEZ ST,4220 Cesar Chavez St,NA,No,15,37.747492,-122.434476
4330 GEARY BL,4330 Geary Bl,NA,No,15,37.781255,-122.465936
821 BRODERICK ST,821 Broderick St,NA,No,15,37.777839,-122.440355
356 SPRUCE ST,356 Spruce St,NA,No,15,37.787593,-122.453412
1200 TAYLOR ST,1200 Taylor St,NA,No,15,37.793623,-122.412577
300 16th AV,300 16th Av,NA,No,15,37.782265,-122.474928
144 EDDY ST,144 Eddy St,Empress Hotel,Yes,15,37.784531,-122.410028
405 SERRANO DR,405 Serrano Dr,NA,No,15,37.718266,-122.480908
431 ASHBURY ST,431 Ashbury St,NA,No,15,37.771369,-122.447517
345 LEAVENWORth ST,345 Leavenworth St,NA,No,15,37.784278,-122.414569
